transmission_line_id,transmission_circuit_id,owner,province,operating_region,number_of_circuits,current_type,line_segment_length_km,line_segment_length_mi,line_length_km,line_length_mi,voltage,reactance,ttc_summer,ttc_winter,network_node_name_starting,network_node_code_starting,network_node_name_ending,network_node_code_ending,notes
36224,L1139,Hydro-QuÃƒÂ©bec Transmission,QC,Quebec,1,ac,7.980,4.926,15.960,9.852,120,6.71,107,118,Duvernay,QC_DUV_TSS,Sainte-Rose,QC_SRO_DSS,NULL
36225,L1141,Hydro-QuÃƒÂ©bec Transmission,QC,Quebec,1,ac,23.625,14.583,23.625,14.583,120,9.94,107,118,Chute-Hemmings,QC_CHH_GSS,Sainte-PerpÃƒÂ©tue,QC_SPE_DSS,NULL
36226,L1142,Hydro-QuÃƒÂ©bec Transmission,QC,Quebec,1,ac,28.875,17.824,63.000,38.889,120,26.51,107,118,Moras,QC_MOR_DSS,BÃƒÂ©cancour,QC_BEC_TSS,NULL
36227,L1142,Hydro-QuÃƒÂ©bec Transmission,QC,Quebec,1,ac,34.125,21.065,63.000,38.889,120,26.51,107,118,Sainte-PerpÃƒÂ©tue,QC_SPE_DSS,Moras,QC_MOR_DSS,NULL
36228,L1143,Hydro-QuÃƒÂ©bec Transmission,QC,Quebec,1,ac,44.625,27.546,44.625,27.546,120,18.77,107,118,Chute-Hemmings,QC_CHH_GSS,Asbestos,QC_ASB_DSS,NULL
36229,L1145,Hydro-QuÃƒÂ©bec Transmission,QC,Quebec,1,ac,26.250,16.204,44.000,27.160,120,18.51,107,118,Grand-PrÃƒÂ©,QC_GRP_DSS,Charette,QC_CHR_DSS,NULL
36230,L1145,Hydro-QuÃƒÂ©bec Transmission,QC,Quebec,1,ac,1.000,0.617,44.000,27.160,120,18.51,107,118,Shawinigan-3,QC_SH3_GSS,Leman,QC_LMN_SWS,NULL
36231,L1145,Hydro-QuÃƒÂ©bec Transmission,QC,Quebec,1,ac,1.000,0.617,44.000,27.160,120,18.51,107,118,Leman,QC_LMN_SWS,Shawinigan-2,QC_SH2_GSS,Line name assumed
36232,L1145,Hydro-QuÃƒÂ©bec Transmission,QC,Quebec,1,ac,15.750,9.722,44.000,27.160,120,18.51,107,118,Charette,QC_CHR_DSS,Shawinigan-3,QC_SH3_GSS,NULL
36233,L1146,Hydro-QuÃƒÂ©bec Transmission,QC,Quebec,1,ac,34.200,21.111,34.200,21.111,120,14.39,107,118,Quyon,QC_QUY_TSS,Paugan,QC_PAU_GSS,NULL
36234,L1147,Hydro-QuÃƒÂ©bec Transmission,QC,Quebec,1,ac,1.350,0.833,1.800,1.111,120,0.76,107,118,Sorel,QC_SOR_DSS,Forges-de-Sorel,QC_FGS_ISS,NULL
36235,L1147,Hydro-QuÃƒÂ©bec Transmission,QC,Quebec,1,ac,0.450,0.278,1.800,1.111,120,0.76,107,118,Forges-de-Sorel,QC_FGS_ISS,GEC-Alstom-Fagan,QC_GEC_ISS,NULL
36236,L1148,Hydro-QuÃƒÂ©bec Transmission,QC,Quebec,1,ac,2.500,1.543,2.500,1.543,120,1.05,107,118,Leman,QC_LMN_SWS,Almaville,QC_ALV_DSS,Line name assumed
36237,L1149,Hydro-QuÃƒÂ©bec Transmission,QC,Quebec,1,ac,2.500,1.543,2.500,1.543,120,1.05,107,118,Leman,QC_LMN_SWS,Almaville,QC_ALV_DSS,Line name assumed
36238,L1151,Hydro-QuÃƒÂ©bec Transmission,QC,Quebec,1,ac,26.250,16.204,44.000,27.160,120,18.51,107,118,Grand-PrÃƒÂ©,QC_GRP_DSS,Charette,QC_CHR_DSS,NULL
36239,L1151,Hydro-QuÃƒÂ©bec Transmission,QC,Quebec,1,ac,1.000,0.617,44.000,27.160,120,18.51,107,118,Shawinigan-3,QC_SH3_GSS,Leman,QC_LMN_SWS,NULL
36240,L1151,Hydro-QuÃƒÂ©bec Transmission,QC,Quebec,1,ac,1.000,0.617,44.000,27.160,120,18.51,107,118,Leman,QC_LMN_SWS,Shawinigan-2,QC_SH2_GSS,Line name assumed
36241,L1151,Hydro-QuÃƒÂ©bec Transmission,QC,Quebec,1,ac,15.750,9.722,44.000,27.160,120,18.51,107,118,Charette,QC_CHR_DSS,Shawinigan-3,QC_SH3_GSS,NULL
36242,L1152,Hydro-QuÃƒÂ©bec Transmission,QC,Quebec,1,ac,1.050,0.648,40.425,24.954,120,17.01,107,118,Marcotte,QC_MAR_DSS,Chute-Hemmings,QC_CHH_GSS,NULL
36243,L1152,Hydro-QuÃƒÂ©bec Transmission,QC,Quebec,1,ac,39.375,24.306,40.425,24.954,120,17.01,107,118,Chute-Hemmings,QC_CHH_GSS,Yamaska,QC_YAM_DSS,NULL
36244,L1153,Hydro-QuÃƒÂ©bec Transmission,QC,Quebec,1,ac,21.000,12.963,21.000,12.963,120,8.83,107,118,Sorel-Sud,QC_SRS_DSS,Yamaska,QC_YAM_DSS,NULL
36245,L1155,Hydro-QuÃƒÂ©bec Transmission,QC,Quebec,1,ac,7.000,4.321,7.000,4.321,120,2.95,107,118,Trois-RiviÃƒÂ¨res,QC_TRR_SWS,Kruger Inc Trois-RiviÃƒÂ¨res,QC_KRT_ISS,NULL
36246,L1156,Hydro-QuÃƒÂ©bec Transmission,QC,Quebec,1,ac,7.980,4.926,15.960,9.852,120,6.71,107,118,Sainte-Rose,QC_SRO_DSS,Boulevard-Labelle,QC_BLL_DSS,NULL
36247,L1156,Hydro-QuÃƒÂ©bec Transmission,QC,Quebec,1,ac,7.980,4.926,15.960,9.852,120,6.71,107,118,Duvernay,QC_DUV_TSS,Sainte-Rose,QC_SRO_DSS,NULL
